cantactId	partyName	firstName	lastName	companyName	licenceName	taxId	emailAdd1	homePhone	addressKey	fstNme
39961215	ALICE HON	Alice	Hon				alicehon123@DUMMY.com		1982 PLEASANT VALLEY AVE  STE A  OAKLAND  CA	ALICE
19087578	ALICE HON	Alice	Hon				alicehon123@DUMMY.com		1982 PLEASANT VALLEY AVE  STE A  OAKLAND  CA	ALI?
48286915	ALICE  HON	Alice	Hon						1900 POWELL ST STE 1200  EMERYVILLE  CA	ALICE
48755091	ALICE  HON	Alice	Hon						1900 POWELL ST STE 1200  EMERYVILLE  CA	ALICE
43883248	GEICO GENERAL INSURANCE CO			GEICO GENERAL INSURANCE CO		EECbe8ujHpmNa22g8jpP2w==			PO BOX 509119  SAN DIEGO  CA	GEICO GENERAL INSURANCE CO
19133779	GEICO GENERAL INSURANCE CO			GEICO GENERAL INSURANCE CO		EECbe8ujHpmNa22g8jpP2w==			PO BOX 509119  SAN DIEGO  CA	GEICO GENERAL INSURANCE CO
46616189	PATRICK  STALLONE	Patrick	Stallone				patrickstallone@DUMMY.com		1900 POWELL ST STE 1200  EMERYVILLE  CA	PATRICK
20854616	PATRICK  STALLONE	Patrick	Stallone				patrickstallone@DUMMY.com		99 SMITH RANCH RD  SAN RAFAEL  CA	PATRICK
48721350	LOANN  PHAN	Loann	Phan		C5555555		loannphan@dummy.com		1900 POWELL ST STE 1200  EMERYVILLE  CA	LOANN
49967609	LOANN  PHAN	Loann	Phan		C5555555		loannphan@dummy.com		EMERYVILLE  CA	LOANN
54489868	LOANN  PHAN	Loann	Phan		C5555555		loannphan@dummy.com		10916 TRINITY PKWY  STE A  STOCKTON  CA	LOANN
49785104	LOANN  PHAN	Loann	Phan		C5555555				EMERYVILLE  CA	LOANN
46922798	LORI  SEMAS	Lori	Semas				lorisemas@dummy.com		1900 POWELL ST STE 1200  EMERYVILLE  CA	LORI
47069187	LORI  SEMAS	Lori	Semas				lorisemas@dummy.com		1900 POWELL ST STE 1200  EMERYVILLE  CA	LORI
